mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_mpa_0_D3,G_vrh_mace_mpa_0_D3
mp-861884,AcGaTe2,43.131,14.998,51.56379076163061,20.96368323122732
mp-1390618,SnO2,42.723,28.477,149.5382525350292,86.51027700750419
mp-983358,HfAlFe2,172.287,92.953,202.79609779760503,109.00106974719449
mp-600124,MnNiSb,101.928,50.092,120.0437596518174,79.33424089586933
mp-1635,TbMg,40.716,20.807,42.871367237722026,27.526681758409552
mp-3384,Er3Al5O12,173.762,105.755,212.27573194003566,129.57641679102963
mp-55,Sn,46.694,5.892,62.68238666191472,-0.9602306311534765
mp-4668,K(CoSe)2,50.314,24.198,80.97487239226092,36.82746551921832
mp-554352,Ba2CuF6,57.176,21.226,74.76019713443225,31.891494263822178
mp-862966,PmTlAg2,65.448,18.899,83.63893075673008,29.742861931070564
mp-973824,LiHg3,22.639,18.474,49.53112980505174,7.45959662117986
mp-11722,PrGe2,64.615,22.802,81.83367621089752,33.432382266735054
mp-7426,Ba(ZnP)2,55.357,28.964,74.85673684503197,33.02485683528911
mp-675180,ErCuSe2,65.035,28.853,84.483513976078,46.095848043922054
mp-974421,IrRu,329.122,156.327,452.1357992107122,232.37542244740825
mp-20552,Cr2As,155.123,75.452,233.99091893675592,37.406069303897695
mp-1008483,CdN,101.532,19.068,140.94389116013187,-72.35013132063102
mp-1560,LaTe,54.332,21.792,74.27740997215592,30.25645631834458
mp-5526,La(CoSi)2,117.558,76.385,152.5720650340684,77.09977171203565
mp-11801,K3N,2.7199999999999998,1.43,7.982187917124301,5.211084316237308
mp-4494,NaYbS2,36.215,11.768,54.868234092889274,15.98675148275876
mp-13498,Tb2Mg,39.124,15.539,46.61174576549621,23.669813758864066
mp-867125,Al2RuPt,201.068,97.729,281.90913868529503,123.02626911260859
mp-980663,Yb2Mg,21.912,6.47,23.870752610021494,13.17853782526885
mp-644281,Mg7TiH16,63.812,30.422,75.2012530932765,38.804012270877216
mp-977408,NbTlO3,176.002,93.616,220.96229663119675,93.30964144308089
mp-27954,CuN3,15.781,4.885,89.04129495238158,50.650690051795145
mp-915,YCd,56.99,28.662,64.30540504075944,27.70031268080945
mp-570018,Ce3Pb,47.518,28.668,72.7933417315276,35.55652733039721
mp-6950,BaSb3,27.116,16.98,50.014660373514175,25.79213031587965
mp-757031,Mg2TiO4,146.153,71.912,204.29014040529376,117.76257485451892
mp-7381,TbMg3,40.267,24.883,49.44286166319867,34.174739697389484
mp-978513,SmErMg2,40.708,21.424,41.691674170478684,27.24950629431913
mp-4252,SnPS3,16.223,11.956,69.48097744423643,41.24189623966611
mp-28174,Pd(SCl3)2,2.346,2.36,51.42223741819198,21.68588296758612
mp-1025165,Zr(VGa2)2,131.585,88.202,167.7093689329798,96.82328431820588
mp-27409,RbNiBr3,12.959,3.423,37.75919367619603,16.40285983411723
mp-23192,HgI2,3.392,2.493,29.644074184499836,8.992602645329734
mp-865652,TiMn2Si,207.779,105.768,233.50538549975732,124.6098315500854
mp-638,SrZn5,52.276,24.166,71.20285883513138,37.77453729731996
mp-31187,TiAlFe2,184.183,85.502,217.47642525965,128.23614380131252
mp-976847,Ni3Sb,164.639,57.89,201.9224874558164,78.34421110680718
mp-1087,SrS,48.468,32.3,62.952679068401366,39.552138153511166
mp-1136,Na3As,22.238,13.902,33.25621866264631,20.000997519558553
mp-2490,GaP,76.335,51.463,91.16987052022431,53.4351944031746
mp-866062,HfSiRu2,228.517,106.888,303.31700860495505,146.133465591083
mp-636368,Ga3Fe,102.587,66.476,126.00837810795467,70.50004217812625
mp-7132,DySe,44.941,4.976,62.91589675350194,23.625171755270795
mp-7991,BN,97.905,68.078,153.99658645047955,89.05095268683371
mp-631524,BTe2As,65.801,8.576,65.22418336018771,13.753618365267675
mp-3826,Ce(SiPd)2,124.834,56.202,159.75536822390129,68.79455647890954
mp-754434,Hf3N4,212.613,66.114,281.4960872801128,145.11127962164565
mp-865155,MgAlRh2,155.745,85.611,189.1094178602892,108.44393595062274
mp-4428,CaSiO3,76.748,39.815,169.42698445239753,107.8661971921292
